Iteration,Interp_Serial(s),Mover_Serial(s),Total_Serial(s),Interp_Parallel(s),Mover_Parallel(s),Total_Parallel(s)
1,0.165490,0.162697,0.328186,0.145136,0.044940,0.190076
2,0.144168,0.159751,0.303919,0.144851,0.043370,0.188221
3,0.144123,0.159044,0.303167,0.144465,0.045363,0.189827
4,0.144357,0.159029,0.303386,0.191294,0.044563,0.235857
5,0.144122,0.159210,0.303331,0.163425,0.045196,0.208621
6,0.144149,0.159208,0.303358,0.170269,0.043621,0.213890
7,0.144507,0.159722,0.304229,0.144414,0.045479,0.189894
8,0.145446,0.159682,0.304228,0.155641,0.045394,0.201035
9,0.144843,0.160649,0.305493,0.144679,0.045347,0.190025
10,0.145621,0.160038,0.305659,0.155698,0.045523,0.201222
