Iteration,Interp_Serial(s),Mover_Serial(s),Total_Serial(s),Interp_Parallel(s),Mover_Parallel(s),Total_Parallel(s)
1,0.100683,0.080308,0.180992,0.100421,0.022858,0.123279
2,0.100480,0.080501,0.180981,0.101025,0.022627,0.123652
3,0.100177,0.080492,0.180669,0.100832,0.022804,0.123635
4,0.100237,0.080267,0.180505,0.104272,0.022721,0.126994
5,0.100321,0.080262,0.180583,0.101594,0.022607,0.124201
6,0.100504,0.080108,0.180612,0.100555,0.022944,0.123499
7,0.102086,0.080358,0.182445,0.101395,0.022538,0.123932
8,0.103435,0.082289,0.185724,0.100770,0.022697,0.123467
9,0.100482,0.080760,0.181242,0.100683,0.022660,0.123342
10,0.102589,0.081212,0.183801,0.102299,0.022651,0.124950
