Iteration,Interp_Serial(s),Mover_Serial(s),Total_Serial(s),Interp_Parallel(s),Mover_Parallel(s),Total_Parallel(s)
1,0.188471,0.307722,0.496193,0.156556,0.117922,0.274478
2,0.156019,0.307240,0.463260,0.156412,0.100185,0.256597
3,0.156092,0.308321,0.464413,0.155694,0.100159,0.255852
4,0.156136,0.307499,0.463635,0.155900,0.111851,0.267751
5,0.156069,0.308699,0.464768,0.156484,0.100094,0.256578
6,0.156047,0.307213,0.463259,0.155772,0.100709,0.256481
7,0.156262,0.308320,0.464582,0.156039,0.100236,0.256275
8,0.156543,0.307584,0.464127,0.155776,0.100736,0.256512
9,0.155959,0.308275,0.464235,0.155945,0.100122,0.256066
10,0.156099,0.307540,0.463639,0.155893,0.093737,0.249630
