Iteration,Interp_Serial(s),Mover_Serial(s),Total_Serial(s),Interp_Parallel(s),Mover_Parallel(s),Total_Parallel(s)
1,0.102711,0.323584,0.426295,0.104541,0.022973,0.127514
2,0.103064,0.325459,0.428524,0.104176,0.022726,0.126902
3,0.103012,0.320218,0.423230,0.103460,0.023137,0.126598
4,0.103856,0.320837,0.424693,0.103215,0.022999,0.126214
5,0.103043,0.320256,0.423299,0.105750,0.022679,0.128429
6,0.104829,0.319998,0.424827,0.103361,0.023745,0.127106
7,0.102942,0.324280,0.427222,0.103124,0.022659,0.125783
8,0.102658,0.325032,0.427691,0.103828,0.023317,0.127146
9,0.102460,0.322062,0.424521,0.103273,0.022942,0.126215
10,0.102817,0.321425,0.424243,0.103489,0.022887,0.126376
