threads,iteration,time
1,0,0.062644
1,1,0.068912
1,2,0.062923
1,3,0.063134
1,4,0.067923
1,5,0.066273
1,6,0.062800
1,7,0.065952
1,8,0.074895
1,9,0.062607
2,0,0.036340
2,1,0.032318
2,2,0.032314
2,3,0.035097
2,4,0.031773
2,5,0.031744
2,6,0.033024
2,7,0.035682
2,8,0.032314
2,9,0.031893
4,0,0.019457
4,1,0.018154
4,2,0.017641
4,3,0.018344
4,4,0.017724
4,5,0.017884
4,6,0.018682
4,7,0.019152
4,8,0.018562
4,9,0.017821
8,0,0.020821
8,1,0.020136
8,2,0.020098
8,3,0.020259
8,4,0.020137
8,5,0.020288
8,6,0.020239
8,7,0.019586
8,8,0.019738
8,9,0.020159
16,0,0.017537
16,1,0.018405
16,2,0.018995
16,3,0.019764
16,4,0.020923
16,5,0.019297
16,6,0.019265
16,7,0.016840
16,8,0.019007
16,9,0.021345
